productid,productname,category,unitprice,costofgood,warehouseid
2000,ELECTRONICS-BE,Electronics,969.31,248.37,C
2001,ELECTRONICS-BE,Clothing,412.35,19.84,F
2002,OFFICE-FAMILY,Clothing,866.0,172.65,A
2003,ELECTRONICS-TRAINING,Clothing,385.18,5.29,G
2004,OFFICE-WHERE,Home,927.25,287.41,D
2005,OFFICE-HUGE,Home,428.78,134.08,B
2006,OFFICE-CLASS,Clothing,198.0,76.52,E
2007,CLOTHING-OVER,Electronics,583.39,212.96,C
2008,ELECTRONICS-SKIN,Home,66.59,43.17,F
2009,OFFICE-RAISE,Clothing,66.31,198.25,A
2010,ELECTRONICS-THEMSELVES,Clothing,77.84,295.6,G
2011,ELECTRONICS-RELIGIOUS,Clothing,409.74,88.93,D
2012,CLOTHING-ARTIST,Electronics,623.19,267.14,B
2013,OFFICE-CULTURAL,Home,935.36,121.77,E
2014,CLOTHING-EAT,Home,246.3,14.66,C
2015,OFFICE-ITSELF,Clothing,674.97,239.05,F
2016,HOME-HE,Office,323.02,186.32,A
2017,ELECTRONICS-FEELING,Electronics,463.7,97.4,G
2018,ELECTRONICS-NATURE,Electronics,542.26,55.81,D
2019,HOME-HISTORY,Clothing,933.93,273.09,B
2020,ELECTRONICS-SHARE,Clothing,375.83,11.38,E
2021,CLOTHING-SKILL,Office,835.41,149.72,C
2022,HOME-ECONOMY,Electronics,671.18,230.46,F
2023,HOME-YEAH,Electronics,939.54,69.88,A
2024,CLOTHING-PAPER,Home,124.27,100.21,G
2025,ELECTRONICS-ASSUME,Clothing,279.62,284.9,D
2026,CLOTHING-USE,Home,211.56,36.44,B
2027,HOME-PURPOSE,Office,258.61,192.73,E
2028,ELECTRONICS-TAKE,Electronics,637.94,125.39,C
2029,HOME-YOURSELF,Electronics,13.51,8.75,F
2030,CLOTHING-FIRST,Home,169.97,218.67,A
2031,OFFICE-DEVELOP,Office,565.3,163.58,G
2032,ELECTRONICS-THERE,Electronics,945.6,90.14,D
2033,CLOTHING-ARGUE,Electronics,836.25,248.02,B
2034,CLOTHING-FEEL,Office,136.17,27.91,E
2035,HOME-ACCORDING,Home,899.99,135.66,C
2036,ELECTRONICS-CANDIDATE,Home,217.98,177.83,F
2037,CLOTHING-MEETING,Electronics,360.14,61.49,A
2038,OFFICE-SOON,Clothing,926.51,293.76,G
2039,CLOTHING-NEED,Clothing,976.44,104.33,D
2040,CLOTHING-DETERMINE,Office,34.54,16.07,B
2041,HOME-ASSUME,Office,804.21,265.94,E
2042,CLOTHING-LAWYER,Home,167.61,200.18,C
2043,ELECTRONICS-PRACTICE,Office,873.45,73.62,F
2044,OFFICE-SOCIETY,Clothing,207.58,144.5,A
2045,OFFICE-NEXT,Home,312.14,41.36,G
2046,CLOTHING-WORRY,Clothing,33.43,280.71,D
2047,CLOTHING-HAIR,Office,334.98,109.95,B
2048,ELECTRONICS-CANDIDATE,Home,357.63,22.68,E
2049,OFFICE-EASY,Home,939.84,226.84,C
2050,ELECTRONICS-YOUNG,Home,186.78,158.27,F
2051,HOME-CENTURY,Electronics,117.32,85.73,A
2052,OFFICE-YEAR,Home,731.26,189.61,G
2053,HOME-GROUND,Office,610.15,52.1,D
2054,ELECTRONICS-ABOVE,Office,900.51,270.88,B
2055,CLOTHING-POLITICS,Home,53.94,116.42,E
2056,OFFICE-ABOUT,Electronics,524.72,31.53,C
2057,CLOTHING-IDENTIFY,Home,436.98,204.79,F
2058,HOME-WEAR,Home,666.75,139.33,A
2059,ELECTRONICS-CLEAR,Home,512.05,66.25,G
2060,OFFICE-TERM,Home,408.38,97.88,D
2061,HOME-QUITE,Clothing,199.92,243.7,B
2062,OFFICE-RECEIVE,Clothing,619.36,18.96,E
2063,HOME-GOOD,Office,552.46,175.21,C
2064,ELECTRONICS-STOP,Home,294.04,5.03,F
2065,OFFICE-ANIMAL,Home,470.34,289.44,A
2066,OFFICE-OCCUR,Clothing,516.06,130.67,G
2067,CLOTHING-REMAIN,Electronics,290.95,78.41,D
2068,HOME-READ,Electronics,820.24,215.88,B
2069,CLOTHING-GARDEN,Home,232.39,45.6,E
2070,CLOTHING-ABOUT,Clothing,34.18,195.36,C
2071,CLOTHING-SUCCESS,Office,615.16,298.12,F
2072,ELECTRONICS-BECOME,Office,420.3,91.27,A
2073,CLOTHING-EXECUTIVE,Office,499.43,263.85,G
2074,CLOTHING-STRONG,Clothing,659.5,123.04,D
2075,ELECTRONICS-LETTER,Electronics,780.64,12.49,B
2076,CLOTHING-AFFECT,Clothing,806.07,236.19,E
2077,OFFICE-BALL,Electronics,561.83,183.76,C
2078,ELECTRONICS-FILM,Office,142.01,99.52,F
2079,OFFICE-WHO,Home,950.54,58.94,A
2080,OFFICE-DOCTOR,Office,832.26,275.66,G
2081,OFFICE-LIGHT,Clothing,746.22,9.81,D
2082,OFFICE-FIGURE,Office,266.6,152.33,B
2083,CLOTHING-CUT,Home,768.16,233.91,E
2084,OFFICE-STUFF,Clothing,281.85,71.45,C
2085,ELECTRONICS-OFFICER,Home,242.15,102.76,F
2086,HOME-OF,Home,894.1,282.43,A
2087,ELECTRONICS-RATHER,Clothing,159.32,38.29,G
2088,OFFICE-EVENING,Clothing,709.35,190.04,D
2089,ELECTRONICS-ACTION,Office,413.52,127.88,B
2090,OFFICE-STAFF,Office,71.64,6.42,E
2091,OFFICE-MRS,Office,905.79,221.53,C
2092,ELECTRONICS-ADD,Office,482.21,166.04,F
2093,HOME-REAL,Home,755.94,92.66,A
2094,OFFICE-FIGHT,Clothing,493.35,250.19,G
2095,HOME-SEEM,Office,490.79,30.12,D
2096,OFFICE-DISCUSS,Home,672.18,138.9,B
2097,OFFICE-RECENT,Clothing,842.1,180.61,E
2098,CLOTHING-TROUBLE,Electronics,907.86,63.97,C
2099,ELECTRONICS-SEVERAL,Electronics,646.32,296.45,F
