transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,qtypurchased,saletime,StandardDateTime
2,5/4/2025,1066,2048,403,1.0,321.87,1,evening,2025-05-04
5,5/4/2025,1020,2060,401,0.0,408.38,4,evening,2025-05-04
6,5/4/2025,1089,2028,401,0.0,1275.88,1,afternoon,2025-05-04
7,5/4/2025,1193,2003,402,1.0,346.66,3,morning,2025-05-04
8,5/4/2025,1005,2079,402,1.0,855.49,2,morning,2025-05-04
9,5/4/2025,1032,2060,401,1.0,735.08,5,evening,2025-05-04
10,5/4/2025,1119,2089,403,2.0,661.63,4,afternoon,2025-05-04
14,5/4/2025,1183,2025,401,1.0,503.32,5,morning,2025-05-04
15,5/4/2025,1026,2089,403,0.0,413.52,4,evening,2025-05-04
17,5/4/2025,1169,2047,401,2.0,535.97,1,morning,2025-05-04
20,5/4/2025,1111,2022,403,3.0,671.18,5,afternoon,2025-05-04
22,5/4/2025,1062,2011,403,3.0,1229.22,1,evening,2025-05-04
23,5/4/2025,1062,2096,404,3.0,672.18,3,afternoon,2025-05-04
24,5/4/2025,1086,2003,404,2.0,924.43,4,morning,2025-05-04
26,5/4/2025,1066,2043,403,2.0,698.76,2,afternoon,2025-05-04
27,5/4/2025,1142,2001,402,0.0,1237.05,1,morning,2025-05-04
28,5/4/2025,1061,2092,404,3.0,482.21,3,morning,2025-05-04
31,2023-13-01,1004,2011,403,1.0,737.53,2,morning,
34,5/4/2025,1141,2067,403,3.0,872.85,4,morning,2025-05-04
36,5/4/2025,1179,2058,403,2.0,1066.8,2,afternoon,2025-05-04
39,5/4/2025,1055,2094,404,2.0,1578.72,4,evening,2025-05-04
43,5/4/2025,1070,2005,401,2.0,686.05,3,afternoon,2025-05-04
45,5/4/2025,1003,2073,403,3.0,1498.29,5,evening,2025-05-04
46,5/4/2025,1122,2056,403,1.0,944.5,2,afternoon,2025-05-04
50,5/4/2025,1038,2072,403,0.0,840.6,5,afternoon,2025-05-04
51,5/4/2025,1063,2015,404,1.0,1214.95,2,morning,2025-05-04
52,5/4/2025,1198,2066,404,3.0,516.06,1,evening,2025-05-04
55,5/4/2025,1195,2026,402,2.0,507.74,5,evening,2025-05-04
59,5/4/2025,1074,2004,402,2.0,741.8,4,evening,2025-05-04
66,5/4/2025,1069,2064,404,3.0,1470.2,2,afternoon,2025-05-04
71,5/4/2025,1132,2083,404,2.0,614.53,2,morning,2025-05-04
72,5/4/2025,1046,2074,404,3.0,659.5,1,evening,2025-05-04
73,5/4/2025,1023,2060,403,3.0,1225.14,3,afternoon,2025-05-04
74,5/4/2025,1085,2041,401,1.0,1447.58,4,morning,2025-05-04
80,5/4/2025,1013,2024,403,3.0,372.81,5,afternoon,2025-05-04
81,5/4/2025,1160,2056,401,1.0,472.25,2,morning,2025-05-04
84,5/4/2025,1007,2080,402,1.0,1498.07,4,morning,2025-05-04
87,5/4/2025,1030,2082,402,3.0,799.8,1,morning,2025-05-04
91,5/4/2025,1153,2065,402,0.0,470.34,2,morning,2025-05-04
95,5/4/2025,1114,2068,404,2.0,656.19,5,evening,2025-05-04
97,5/4/2025,1082,2024,402,3.0,372.81,1,morning,2025-05-04
98,5/4/2025,1059,2099,404,0.0,1292.64,3,morning,2025-05-04
99,5/4/2025,1081,2095,404,3.0,490.79,4,evening,2025-05-04
101,5/4/2025,1009,2016,403,0.0,969.06,2,morning,2025-05-04
103,5/4/2025,1184,2018,404,1.0,488.03,3,afternoon,2025-05-04
107,5/4/2025,1160,2091,404,0.0,905.79,1,morning,2025-05-04
110,5/4/2025,1025,2097,401,3.0,842.1,5,afternoon,2025-05-04
111,5/4/2025,1042,2088,403,0.0,709.35,2,morning,2025-05-04
116,5/4/2025,1158,2087,402,3.0,477.96,2,afternoon,2025-05-04
118,5/4/2025,1163,2032,404,2.0,756.48,3,morning,2025-05-04
119,5/4/2025,1170,2001,404,2.0,659.76,4,evening,2025-05-04
120,5/4/2025,1173,2069,402,0.0,464.78,5,afternoon,2025-05-04
122,5/4/2025,1176,2032,404,2.0,756.48,1,evening,2025-05-04
124,5/4/2025,1060,2048,403,2.0,1144.42,4,morning,2025-05-04
125,5/4/2025,1179,2037,401,3.0,1440.56,5,evening,2025-05-04
129,5/4/2025,1173,2096,402,0.0,672.18,4,evening,2025-05-04
130,5/4/2025,1160,2082,401,2.0,426.56,5,afternoon,2025-05-04
134,5/4/2025,1135,2064,403,1.0,793.91,4,morning,2025-05-04
135,5/4/2025,1065,2061,403,2.0,639.74,5,evening,2025-05-04
136,5/4/2025,1029,2059,401,1.0,921.69,2,afternoon,2025-05-04
137,5/4/2025,1193,2028,404,2.0,1531.06,1,morning,2025-05-04
139,5/4/2025,1137,2015,404,2.0,539.98,4,evening,2025-05-04
141,5/4/2025,1163,2047,401,1.0,301.48,2,morning,2025-05-04
142,5/4/2025,1120,2003,403,1.0,1039.99,1,evening,2025-05-04
144,5/4/2025,1166,2052,401,1.0,658.13,4,morning,2025-05-04
147,5/4/2025,1099,2058,403,3.0,666.75,1,morning,2025-05-04
148,5/4/2025,1150,2095,402,3.0,490.79,3,morning,2025-05-04
150,5/4/2025,1071,2004,403,1.0,834.52,5,afternoon,2025-05-04
151,5/4/2025,1113,2056,402,2.0,839.55,2,morning,2025-05-04
153,5/4/2025,1015,2050,403,1.0,504.31,3,afternoon,2025-05-04
156,5/4/2025,1085,2031,402,1.0,508.77,2,afternoon,2025-05-04
157,5/4/2025,1017,2097,402,1.0,757.89,1,morning,2025-05-04
160,5/4/2025,1044,2014,401,1.0,886.68,5,afternoon,2025-05-04
161,5/4/2025,1003,2045,402,2.0,499.42,2,morning,2025-05-04
162,5/4/2025,1004,2022,403,0.0,671.18,1,evening,2025-05-04
163,5/4/2025,1032,2094,404,0.0,493.35,3,afternoon,2025-05-04
167,5/4/2025,1117,2082,401,0.0,799.8,1,morning,2025-05-04
172,5/4/2025,1152,2067,403,3.0,872.85,1,evening,2025-05-04
174,5/4/2025,1179,2014,402,3.0,738.9,4,morning,2025-05-04
176,5/4/2025,1116,2051,404,0.0,351.96,2,afternoon,2025-05-04
178,5/4/2025,1095,2019,404,0.0,933.93,3,morning,2025-05-04
181,5/4/2025,1142,2007,403,0.0,583.39,2,morning,2025-05-04
182,5/4/2025,1105,2045,404,0.0,624.28,1,evening,2025-05-04
185,5/4/2025,1168,2061,402,0.0,599.76,5,evening,2025-05-04
189,5/4/2025,1007,2023,403,2.0,751.63,4,evening,2025-05-04
190,5/4/2025,1086,2044,401,1.0,373.64,5,afternoon,2025-05-04
191,5/4/2025,1036,2072,404,0.0,1260.9,2,morning,2025-05-04
193,5/4/2025,1191,2067,402,3.0,872.85,3,afternoon,2025-05-04
198,5/4/2025,1169,2054,404,3.0,900.51,3,morning,2025-05-04
201,5/4/2025,1173,2086,404,2.0,715.28,2,morning,2025-05-04
204,5/4/2025,1196,2017,403,2.0,370.96,4,morning,2025-05-04
207,5/4/2025,1097,2068,402,2.0,1312.38,1,morning,2025-05-04
209,5/4/2025,1004,2058,401,2.0,1066.8,4,evening,2025-05-04
211,5/4/2025,1074,2014,404,0.0,738.9,2,morning,2025-05-04
212,5/4/2025,1083,2021,404,2.0,668.33,1,evening,2025-05-04
214,5/4/2025,1111,2075,404,0.0,1561.28,4,morning,2025-05-04
216,5/4/2025,1085,2099,402,0.0,646.32,2,afternoon,2025-05-04
217,5/4/2025,1130,2081,401,1.0,1343.2,1,morning,2025-05-04
220,5/4/2025,1050,2022,402,0.0,671.18,5,afternoon,2025-05-04
221,5/4/2025,1045,2098,404,3.0,907.86,2,morning,2025-05-04
225,5/4/2025,1070,2075,401,2.0,624.51,5,evening,2025-05-04
229,5/4/2025,1118,2074,401,3.0,659.5,4,evening,2025-05-04
230,5/4/2025,1146,2083,402,2.0,614.53,5,afternoon,2025-05-04
231,5/4/2025,1154,2060,402,0.0,408.38,2,morning,2025-05-04
233,5/4/2025,1129,2082,402,0.0,1066.4,3,afternoon,2025-05-04
235,5/4/2025,1134,2066,402,2.0,1238.54,5,evening,2025-05-04
236,5/4/2025,1095,2036,404,3.0,653.94,2,afternoon,2025-05-04
237,5/4/2025,1198,2043,401,2.0,1397.52,1,morning,2025-05-04
239,5/4/2025,1072,2032,402,2.0,1512.96,4,evening,2025-05-04
240,5/4/2025,1020,2074,402,2.0,527.6,5,afternoon,2025-05-04
241,5/4/2025,1079,2083,404,1.0,691.34,2,morning,2025-05-04
247,5/4/2025,1196,2062,402,1.0,1114.85,1,morning,2025-05-04
249,5/4/2025,1025,2064,401,2.0,705.7,4,evening,2025-05-04
251,5/4/2025,1039,2020,402,1.0,338.25,2,morning,2025-05-04
252,5/4/2025,1184,2056,401,3.0,1574.16,1,evening,2025-05-04
254,5/4/2025,1156,2036,404,1.0,392.36,4,morning,2025-05-04
255,5/4/2025,1136,2030,403,3.0,509.91,5,evening,2025-05-04
258,5/4/2025,1041,2025,402,2.0,671.09,3,morning,2025-05-04
259,5/4/2025,1013,2082,404,2.0,1066.4,4,morning,2025-05-04
260,5/4/2025,1141,2013,401,2.0,748.29,5,evening,2025-05-04
261,5/4/2025,1021,2097,402,2.0,673.68,2,afternoon,2025-05-04
263,5/4/2025,1023,2028,404,2.0,510.35,3,evening,2025-05-04
264,5/4/2025,1006,2053,401,3.0,610.15,4,afternoon,2025-05-04
265,5/4/2025,1128,2047,402,3.0,1004.94,5,morning,2025-05-04
266,5/4/2025,1020,2047,402,0.0,669.96,2,morning,2025-05-04
268,5/4/2025,1035,2004,403,3.0,927.25,3,afternoon,2025-05-04
271,5/4/2025,1065,2027,402,3.0,775.83,2,afternoon,2025-05-04
275,5/4/2025,1028,2063,401,1.0,994.43,5,morning,2025-05-04
278,5/4/2025,1146,2053,402,0.0,1220.3,3,afternoon,2025-05-04
281,5/4/2025,1095,2032,401,2.0,1512.96,2,afternoon,2025-05-04
283,5/4/2025,1197,2074,403,1.0,593.55,3,evening,2025-05-04
284,5/4/2025,1011,2045,403,1.0,842.78,4,afternoon,2025-05-04
286,5/4/2025,1161,2023,402,0.0,939.54,2,morning,2025-05-04
287,5/4/2025,1183,2099,404,0.0,1292.64,1,evening,2025-05-04
290,5/4/2025,1139,2060,403,0.0,1225.14,5,evening,2025-05-04
292,5/4/2025,1091,2099,401,2.0,1034.11,1,morning,2025-05-04
294,5/4/2025,1102,2095,404,3.0,1472.37,4,afternoon,2025-05-04
296,5/4/2025,1094,2066,403,0.0,1032.12,2,morning,2025-05-04
298,5/4/2025,1154,2023,403,2.0,751.63,3,afternoon,2025-05-04
300,5/4/2025,1078,2057,404,1.0,393.28,5,evening,2025-05-04
301,5/4/2025,1176,2056,403,3.0,524.72,2,afternoon,2025-05-04
303,5/4/2025,1070,2081,401,0.0,1492.44,3,evening,2025-05-04
304,5/4/2025,1171,2081,404,2.0,596.98,4,afternoon,2025-05-04
305,5/4/2025,1131,2095,402,0.0,1472.37,5,morning,2025-05-04
306,5/4/2025,1036,2077,404,0.0,1123.66,2,morning,2025-05-04
309,5/4/2025,1173,2057,403,2.0,349.58,4,morning,2025-05-04
310,5/4/2025,1113,2097,401,1.0,757.89,5,evening,2025-05-04
312,5/4/2025,1166,2035,402,0.0,899.99,1,morning,2025-05-04
313,5/4/2025,1006,2094,402,3.0,1480.05,3,evening,2025-05-04
314,5/4/2025,1132,2049,401,2.0,1503.74,4,afternoon,2025-05-04
316,5/4/2025,1156,2036,404,1.0,784.73,2,morning,2025-05-04
320,5/4/2025,1140,2069,403,2.0,557.74,5,evening,2025-05-04
321,5/4/2025,1040,2091,402,2.0,724.63,2,afternoon,2025-05-04
322,5/4/2025,1130,2028,401,1.0,574.15,1,morning,2025-05-04
323,5/4/2025,1035,2030,404,0.0,339.94,3,evening,2025-05-04
328,5/4/2025,1081,2082,401,3.0,1066.4,3,afternoon,2025-05-04
333,5/4/2025,1041,2041,402,2.0,643.37,3,evening,2025-05-04
334,5/4/2025,1132,2036,401,2.0,348.77,4,afternoon,2025-05-04
337,5/4/2025,1151,2074,402,1.0,1187.1,1,evening,2025-05-04
342,5/4/2025,1123,2031,404,2.0,1356.72,1,morning,2025-05-04
345,5/4/2025,1052,2043,402,2.0,698.76,5,morning,2025-05-04
348,5/4/2025,1081,2030,404,0.0,339.94,3,afternoon,2025-05-04
349,5/4/2025,1068,2057,402,1.0,1179.85,4,morning,2025-05-04
350,5/4/2025,1024,2006,403,3.0,594.0,5,evening,2025-05-04
351,5/4/2025,1157,2053,402,1.0,1098.27,2,afternoon,2025-05-04
357,5/4/2025,1012,2036,404,3.0,653.94,1,evening,2025-05-04
359,5/4/2025,1110,2017,403,2.0,370.96,4,morning,2025-05-04
361,5/4/2025,1102,2006,402,2.0,792.0,2,afternoon,2025-05-04
362,5/4/2025,1141,2036,401,3.0,871.92,1,morning,2025-05-04
364,5/4/2025,1032,2012,404,2.0,997.1,4,afternoon,2025-05-04
365,5/4/2025,1086,2071,403,1.0,553.64,5,morning,2025-05-04
366,5/4/2025,1050,2077,404,0.0,561.83,2,morning,2025-05-04
369,5/4/2025,1155,2065,402,2.0,1128.82,4,morning,2025-05-04
371,5/4/2025,1157,2094,403,2.0,1578.72,2,afternoon,2025-05-04
372,5/4/2025,1129,2065,404,2.0,752.54,1,morning,2025-05-04
377,5/4/2025,1149,2061,402,3.0,1199.52,1,evening,2025-05-04
378,5/4/2025,1037,2087,402,0.0,318.64,3,afternoon,2025-05-04
379,5/4/2025,1146,2089,401,1.0,744.34,4,morning,2025-05-04
383,5/4/2025,1180,2017,402,2.0,741.92,3,evening,2025-05-04
384,5/4/2025,1169,2061,404,2.0,319.87,4,afternoon,2025-05-04
385,5/4/2025,1044,2058,403,2.0,1066.8,5,morning,2025-05-04
387,5/4/2025,1049,2031,403,2.0,1356.72,1,evening,2025-05-04
389,5/4/2025,1176,2090,404,2.0,343.87,4,morning,2025-05-04
391,5/4/2025,1031,2073,404,3.0,1498.29,2,afternoon,2025-05-04
392,5/4/2025,1088,2098,402,2.0,726.29,1,morning,2025-05-04
393,5/4/2025,1010,2036,401,2.0,348.77,3,evening,2025-05-04
395,5/4/2025,1054,2025,403,2.0,671.09,5,morning,2025-05-04
399,5/4/2025,1183,2060,401,1.0,367.54,4,morning,2025-05-04
401,5/4/2025,1167,2060,404,1.0,735.08,2,afternoon,2025-05-04
402,5/4/2025,1193,2036,403,2.0,348.77,1,morning,2025-05-04
405,5/4/2025,1106,2022,401,3.0,671.18,5,morning,2025-05-04
407,5/4/2025,1002,2038,401,2.0,1482.42,1,evening,2025-05-04
408,5/4/2025,1072,2058,404,1.0,1200.15,3,afternoon,2025-05-04
409,5/4/2025,1129,2059,403,1.0,1382.54,4,morning,2025-05-04
410,5/4/2025,1028,2042,402,3.0,502.83,5,evening,2025-05-04
412,5/4/2025,1188,2043,403,1.0,1572.21,1,morning,2025-05-04
413,5/4/2025,1044,2078,404,3.0,426.03,3,evening,2025-05-04
415,5/4/2025,1171,2012,402,1.0,1121.74,5,morning,2025-05-04
418,5/4/2025,1192,2034,403,2.0,326.81,3,afternoon,2025-05-04
419,5/4/2025,1149,2092,401,2.0,1157.3,4,morning,2025-05-04
422,5/4/2025,1040,2051,403,0.0,469.28,1,morning,2025-05-04
424,5/4/2025,1056,2017,404,1.0,834.66,4,afternoon,2025-05-04
425,5/4/2025,1116,2095,403,3.0,490.79,5,morning,2025-05-04
429,5/4/2025,1144,2014,401,1.0,443.34,4,morning,2025-05-04
431,5/4/2025,1083,2066,404,0.0,516.06,2,afternoon,2025-05-04
432,5/4/2025,1174,2026,404,0.0,423.12,1,morning,2025-05-04
435,5/4/2025,1144,2007,404,2.0,933.42,5,morning,2025-05-04
436,5/4/2025,1185,2002,404,2.0,692.8,2,morning,2025-05-04
438,5/4/2025,1011,2054,403,0.0,900.51,3,afternoon,2025-05-04
441,5/4/2025,1196,2017,404,2.0,741.92,2,afternoon,2025-05-04
442,5/4/2025,1097,2057,404,3.0,436.98,1,morning,2025-05-04
443,5/4/2025,1020,2087,402,2.0,637.28,3,evening,2025-05-04
444,5/4/2025,1030,2022,404,1.0,604.06,4,afternoon,2025-05-04
446,5/4/2025,1076,2059,404,3.0,1536.15,2,morning,2025-05-04
448,5/4/2025,1039,2035,402,0.0,899.99,3,afternoon,2025-05-04
449,5/4/2025,1008,2084,404,0.0,845.55,4,morning,2025-05-04
450,5/4/2025,1061,2026,401,0.0,423.12,5,evening,2025-05-04
455,5/4/2025,1187,2073,403,2.0,399.54,5,morning,2025-05-04
459,5/4/2025,1142,2063,401,2.0,1325.9,4,morning,2025-05-04
460,5/4/2025,1164,2085,404,2.0,387.44,5,evening,2025-05-04
462,5/4/2025,1076,2048,402,3.0,1072.89,1,morning,2025-05-04
463,5/4/2025,1061,2028,403,1.0,1148.29,3,evening,2025-05-04
465,5/4/2025,1142,2067,402,3.0,1163.8,5,morning,2025-05-04
466,5/4/2025,1062,2032,402,2.0,756.48,2,morning,2025-05-04
469,5/4/2025,1068,2048,401,0.0,715.26,4,morning,2025-05-04
472,5/4/2025,1054,2024,401,3.0,372.81,1,morning,2025-05-04
473,5/4/2025,1062,2089,402,3.0,1240.56,3,evening,2025-05-04
