productid,productname,category,unitprice,costofgood,warehouseid
2000,Electronics-Be,Electronics,969.31,248.37,C
2001,Electronics-Be,Clothing,412.35,19.84,F
2002,Office-Family,Clothing,866.0,172.65,A
2003,Electronics-Training,Clothing,385.18,5.29,G
2004,Office-Where,Home,927.25,287.41,D
2005,Office-Huge,Home,428.78,134.08,B
2006,Office-Class,Clothing,198.0,76.52,E
2007,Clothing-Over,Electronics,583.39,212.96,C
2008,Electronics-Skin,Home,66.59,43.17,F
2009,Office-Raise,Clothing,66.31,198.25,A
2010,Electronics-Themselves,Clothing,77.84,295.6,G
2011,Electronics-Religious,Clothing,409.74,88.93,D
2012,Clothing-Artist,Electronics,623.19,267.14,B
2013,Office-Cultural,Home,935.36,121.77,E
2014,Clothing-Eat,Home,246.3,14.66,C
2015,Office-Itself,Clothing,674.97,239.05,F
2016,Home-He,Office,323.02,186.32,A
2017,Electronics-Feeling,Electronics,463.7,97.4,G
2018,Electronics-Nature,Electronics,542.26,55.81,D
2019,Home-History,Clothing,933.93,273.09,B
2020,Electronics-Share,Clothing,375.83,11.38,E
2021,Clothing-Skill,Office,835.41,149.72,C
2022,Home-Economy,Electronics,671.18,230.46,F
2023,Home-Yeah,Electronics,939.54,69.88,A
2024,Clothing-Paper,Home,124.27,100.21,G
2025,Electronics-Assume,Clothing,279.62,284.9,D
2026,Clothing-Use,Home,211.56,36.44,B
2027,Home-Purpose,Office,258.61,192.73,E
2028,Electronics-Take,Electronics,637.94,125.39,C
2029,Home-Yourself,Electronics,13.51,8.75,F
2030,Clothing-First,Home,169.97,218.67,A
2031,Office-Develop,Office,565.3,163.58,G
2032,Electronics-There,Electronics,945.6,90.14,D
2033,Clothing-Argue,Electronics,836.25,248.02,B
2034,Clothing-Feel,Office,136.17,27.91,E
2035,Home-According,Home,899.99,135.66,C
2036,Electronics-Candidate,Home,217.98,177.83,F
2037,Clothing-Meeting,Electronics,360.14,61.49,A
2038,Office-Soon,Clothing,926.51,293.76,G
2039,Clothing-Need,Clothing,976.44,104.33,D
2040,Clothing-Determine,Office,34.54,16.07,B
2041,Home-Assume,Office,804.21,265.94,E
2042,Clothing-Lawyer,Home,167.61,200.18,C
2043,Electronics-Practice,Office,873.45,73.62,F
2044,Office-Society,Clothing,207.58,144.5,A
2045,Office-Next,Home,312.14,41.36,G
2046,Clothing-Worry,Clothing,33.43,280.71,D
2047,Clothing-Hair,Office,334.98,109.95,B
2048,Electronics-Candidate,Home,357.63,22.68,E
2049,Office-Easy,Home,939.84,226.84,C
2050,Electronics-Young,Home,186.78,158.27,F
2051,Home-Century,Electronics,117.32,85.73,A
2052,Office-Year,Home,731.26,189.61,G
2053,Home-Ground,Office,610.15,52.1,D
2054,Electronics-Above,Office,900.51,270.88,B
2055,Clothing-Politics,Home,53.94,116.42,E
2056,Office-About,Electronics,524.72,31.53,C
2057,Clothing-Identify,Home,436.98,204.79,F
2058,Home-Wear,Home,666.75,139.33,A
2059,Electronics-Clear,Home,512.05,66.25,G
2060,Office-Term,Home,408.38,97.88,D
2061,Home-Quite,Clothing,199.92,243.7,B
2062,Office-Receive,Clothing,619.36,18.96,E
2063,Home-Good,Office,552.46,175.21,C
2064,Electronics-Stop,Home,294.04,5.03,F
2065,Office-Animal,Home,470.34,289.44,A
2066,Office-Occur,Clothing,516.06,130.67,G
2067,Clothing-Remain,Electronics,290.95,78.41,D
2068,Home-Read,Electronics,820.24,215.88,B
2069,Clothing-Garden,Home,232.39,45.6,E
2070,Clothing-About,Clothing,34.18,195.36,C
2071,Clothing-Success,Office,615.16,298.12,F
2072,Electronics-Become,Office,420.3,91.27,A
2073,Clothing-Executive,Office,499.43,263.85,G
2074,Clothing-Strong,Clothing,659.5,123.04,D
2075,Electronics-Letter,Electronics,780.64,12.49,B
2076,Clothing-Affect,Clothing,806.07,236.19,E
2077,Office-Ball,Electronics,561.83,183.76,C
2078,Electronics-Film,Office,142.01,99.52,F
2079,Office-Who,Home,950.54,58.94,A
2080,Office-Doctor,Office,832.26,275.66,G
2081,Office-Light,Clothing,746.22,9.81,D
2082,Office-Figure,Office,266.6,152.33,B
2083,Clothing-Cut,Home,768.16,233.91,E
2084,Office-Stuff,Clothing,281.85,71.45,C
2085,Electronics-Officer,Home,242.15,102.76,F
2086,Home-Of,Home,894.1,282.43,A
2087,Electronics-Rather,Clothing,159.32,38.29,G
2088,Office-Evening,Clothing,709.35,190.04,D
2089,Electronics-Action,Office,413.52,127.88,B
2090,Office-Staff,Office,71.64,6.42,E
2091,Office-Mrs,Office,905.79,221.53,C
2092,Electronics-Add,Office,482.21,166.04,F
2093,Home-Real,Home,755.94,92.66,A
2094,Office-Fight,Clothing,493.35,250.19,G
2095,Home-Seem,Office,490.79,30.12,D
2096,Office-Discuss,Home,672.18,138.9,B
2097,Office-Recent,Clothing,842.1,180.61,E
2098,Clothing-Trouble,Electronics,907.86,63.97,C
2099,Electronics-Several,Electronics,646.32,296.45,F
