transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,qtypurchased,saletime
2,5/4/2025,1066,2048,403,1.0,321.87,1,evening
5,5/4/2025,1020,2060,401,0.0,408.38,4,evening
6,5/4/2025,1089,2028,401,0.0,1275.88,1,afternoon
7,5/4/2025,1193,2003,402,1.0,346.66,3,morning
8,5/4/2025,1005,2079,402,1.0,855.49,2,morning
9,5/4/2025,1032,2060,401,1.0,735.08,5,evening
10,5/4/2025,1119,2089,403,2.0,661.63,4,afternoon
11,5/4/2025,1042,2077,401,,505.65,2,morning
14,5/4/2025,1183,2025,401,1.0,503.32,5,morning
15,5/4/2025,1026,2089,403,0.0,413.52,4,evening
17,5/4/2025,1169,2047,401,2.0,535.97,1,morning
20,5/4/2025,1111,2022,403,3.0,671.18,5,afternoon
22,5/4/2025,1062,2011,403,3.0,1229.22,1,evening
23,5/4/2025,1062,2096,404,3.0,672.18,3,afternoon
24,5/4/2025,1086,2003,404,2.0,924.43,4,morning
26,5/4/2025,1066,2043,403,2.0,698.76,2,afternoon
27,5/4/2025,1142,2001,402,0.0,1237.05,1,morning
28,5/4/2025,1061,2092,404,3.0,482.21,3,morning
31,2023-13-01,1004,2011,403,1.0,737.53,2,morning
34,5/4/2025,1141,2067,403,3.0,872.85,4,morning
36,5/4/2025,1179,2058,403,2.0,1066.8,2,afternoon
39,5/4/2025,1055,2094,404,2.0,1578.72,4,evening
43,5/4/2025,1070,2005,401,2.0,686.05,3,afternoon
45,5/4/2025,1003,2073,403,3.0,1498.29,5,evening
46,5/4/2025,1122,2056,403,1.0,944.5,2,afternoon
50,5/4/2025,1038,2072,403,0.0,840.6,5,afternoon
51,5/4/2025,1063,2015,404,1.0,1214.95,2,morning
52,5/4/2025,1198,2066,404,3.0,516.06,1,evening
55,5/4/2025,1195,2026,402,2.0,507.74,5,evening
59,5/4/2025,1074,2004,402,2.0,741.8,4,evening
66,5/4/2025,1069,2064,404,3.0,1470.2,2,afternoon
71,5/4/2025,1132,2083,404,2.0,614.53,2,morning
72,5/4/2025,1046,2074,404,3.0,659.5,1,evening
73,5/4/2025,1023,2060,403,3.0,1225.14,3,afternoon
74,5/4/2025,1085,2041,401,1.0,1447.58,4,morning
80,5/4/2025,1013,2024,403,3.0,372.81,5,afternoon
81,5/4/2025,1160,2056,401,1.0,472.25,2,morning
84,5/4/2025,1007,2080,402,1.0,1498.07,4,morning
87,5/4/2025,1030,2082,402,3.0,799.8,1,morning
91,5/4/2025,1153,2065,402,0.0,470.34,2,morning
95,5/4/2025,1114,2068,404,2.0,656.19,5,evening
97,5/4/2025,1082,2024,402,3.0,372.81,1,morning
98,5/4/2025,1059,2099,404,0.0,1292.64,3,morning
99,5/4/2025,1081,2095,404,3.0,490.79,4,evening
101,5/4/2025,1009,2016,403,0.0,969.06,2,morning
103,5/4/2025,1184,2018,404,1.0,488.03,3,afternoon
107,5/4/2025,1160,2091,404,0.0,905.79,1,morning
110,5/4/2025,1025,2097,401,3.0,842.1,5,afternoon
111,5/4/2025,1042,2088,403,0.0,709.35,2,morning
