TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,QTYPurchased,SaleTime
1,5/4/2025,1034,2059,402,0,2048.2,3,morning
2,5/4/2025,1066,2048,403,1,321.87,1,evening
3,5/4/2025,1116,2041,403,3,3216.84,5,afternoon
4,5/4/2025,1071,2096,404,2,1613.23,2,morning
5,5/4/2025,1020,2060,401,0,408.38,4,evening
6,5/4/2025,1089,2028,401,0,1275.88,1,afternoon
7,5/4/2025,1193,2003,402,1,346.66,3,morning
8,5/4/2025,1005,2079,402,1,855.49,2,morning
9,5/4/2025,1032,2060,401,1,735.08,5,evening
10,5/4/2025,1119,2089,403,2,661.63,4,afternoon
11,5/4/2025,1042,2077,401,,505.65,2,morning
12,5/4/2025,1079,2013,401,2,0,1,evening
13,5/4/2025,1147,2086,404,3,4470.5,3,afternoon
14,5/4/2025,1183,2025,401,1,503.32,5,morning
15,5/4/2025,1026,2089,403,0,413.52,4,evening
16,5/4/2025,1144,2005,403,3,1715.12,2,afternoon
17,5/4/2025,1169,2047,401,2,535.97,1,morning
18,5/4/2025,1003,2053,404,0,3660.9,3,morning
19,5/4/2025,1110,2046,404,1,30.09,4,evening
20,5/4/2025,1111,2022,403,3,671.18,5,afternoon
21,5/4/2025,1119,2055,403,2,?,2,morning
22,5/4/2025,1062,2011,403,3,1229.22,1,evening
23,5/4/2025,1062,2096,404,3,672.18,3,afternoon
24,5/4/2025,1086,2003,404,2,924.43,4,morning
25,5/4/2025,1046,2062,402,2,1981.95,5,evening
26,5/4/2025,1066,2043,403,2,698.76,2,afternoon
27,5/4/2025,1142,2001,402,0,1237.05,1,morning
28,5/4/2025,1061,2092,404,3,482.21,3,morning
29,5/4/2025,1142,2097,402,3,4210.5,4,evening
30,5/4/2025,1165,2091,404,3,4528.95,5,afternoon
31,2023-13-01,1004,2011,403,1,737.53,2,morning
32,5/4/2025,1103,2088,402,2,0,1,evening
33,5/4/2025,1169,2074,403,3,0,3,afternoon
34,5/4/2025,1141,2067,403,3,872.85,4,morning
35,5/4/2025,1190,2070,403,2,54.69,5,evening
36,5/4/2025,1179,2058,403,2,1066.8,2,afternoon
37,5/4/2025,1064,2029,401,1,12.16,1,morning
38,5/4/2025,1080,2015,402,1,3037.36,3,morning
39,5/4/2025,1055,2094,404,2,1578.72,4,evening
40,5/4/2025,1185,2075,403,0,0,5,afternoon
41,5/4/2025,9999,2037,402,2,288.11,2,morning
42,5/4/2025,1045,2038,401,1,1667.72,1,evening
43,5/4/2025,1070,2005,401,2,686.05,3,afternoon
44,5/4/2025,1178,2016,404,0,0,4,morning
45,5/4/2025,1003,2073,403,3,1498.29,5,evening
46,5/4/2025,1122,2056,403,1,944.5,2,afternoon
47,5/4/2025,1013,2032,404,0,2836.8,1,morning
48,5/4/2025,1016,2051,404,0,117.32,3,morning
49,5/4/2025,1147,2080,401,1,0,4,evening
50,5/4/2025,1038,2072,403,0,840.6,5,afternoon
51,5/4/2025,1063,2015,404,1,1214.95,2,morning
52,5/4/2025,1198,2066,404,3,516.06,1,evening
53,5/4/2025,1113,2038,404,2,2223.62,3,afternoon
54,5/4/2025,1145,2079,401,0,1901.08,4,morning
55,5/4/2025,1195,2026,402,2,507.74,5,evening
56,5/4/2025,1169,2010,402,1,140.11,2,afternoon
57,5/4/2025,1044,2070,401,1,0,1,morning
58,5/4/2025,1000,2052,404,3,2193.78,3,morning
59,5/4/2025,1074,2004,402,2,741.8,4,evening
60,5/4/2025,1180,2036,404,0,217.98,5,afternoon
61,5/4/2025,1175,2029,403,1,36.48,2,morning
62,5/4/2025,1108,2014,402,1,221.67,1,evening
63,5/4/2025,1068,2018,401,0,2169.04,3,afternoon
64,5/4/2025,1042,2039,403,3,2929.32,4,morning
65,5/4/2025,1031,2059,403,3,0,5,evening
66,5/4/2025,1069,2064,404,3,1470.2,2,afternoon
67,5/4/2025,1020,2076,401,3,4836.42,1,morning
68,5/4/2025,1188,2041,403,0,1608.42,3,morning
69,5/4/2025,1023,2029,401,2,0,4,evening
70,5/4/2025,1147,2005,402,3,0,5,afternoon
71,5/4/2025,1132,2083,404,2,614.53,2,morning
72,5/4/2025,1046,2074,404,3,659.5,1,evening
73,5/4/2025,1023,2060,403,3,1225.14,3,afternoon
74,5/4/2025,1085,2041,401,1,1447.58,4,morning
75,5/4/2025,1084,2052,404,2,2925.04,5,evening
76,5/4/2025,1169,2051,401,3,117.32,2,afternoon
77,5/4/2025,1022,2040,403,2,55.26,1,morning
78,5/4/2025,1029,2098,404,0,3631.44,3,morning
79,5/4/2025,1168,2069,404,3,232.39,4,evening
80,5/4/2025,1013,2024,403,3,372.81,5,afternoon
81,5/4/2025,1160,2056,401,1,472.25,2,morning
82,5/4/2025,1068,2070,402,2,109.38,1,evening
83,5/4/2025,1112,2089,404,0,2067.6,3,afternoon
84,5/4/2025,1007,2080,402,1,1498.07,4,morning
85,5/4/2025,1079,2070,401,3,34.18,5,evening
86,5/4/2025,1023,2028,401,3,2551.76,2,afternoon
87,5/4/2025,1030,2082,402,3,799.8,1,morning
88,5/4/2025,1183,2037,403,3,2160.84,3,morning
89,5/4/2025,1123,2060,402,3,2450.28,4,evening
90,5/4/2025,1141,2018,404,1,2440.17,5,afternoon
91,5/4/2025,1153,2065,402,0,470.34,2,morning
92,5/4/2025,1070,2098,404,2,0,1,evening
93,5/4/2025,1129,2034,401,2,108.94,3,afternoon
94,5/4/2025,1185,2038,404,1,1667.72,4,morning
95,5/4/2025,1114,2068,404,2,656.19,5,evening
96,5/4/2025,1085,2070,404,3,0,2,afternoon
97,5/4/2025,1082,2024,402,3,372.81,1,morning
98,5/4/2025,1059,2099,404,0,1292.64,3,morning
99,5/4/2025,1081,2095,404,3,490.79,4,evening
100,5/4/2025,1098,2084,402,3,0,5,afternoon
101,5/4/2025,1009,2016,403,0,969.06,2,morning
102,5/4/2025,1112,2012,404,0,1869.57,1,evening
103,5/4/2025,1184,2018,404,1,488.03,3,afternoon
104,5/4/2025,1019,2060,403,2,0,4,morning
105,5/4/2025,1159,2088,404,0,0,5,evening
106,5/4/2025,1084,2086,404,2,2861.12,2,afternoon
107,5/4/2025,1160,2091,404,0,905.79,1,morning
108,5/4/2025,1158,2008,402,2,159.82,3,morning
109,5/4/2025,1058,2095,401,3,2453.95,4,evening
110,5/4/2025,1025,2097,401,3,842.1,5,afternoon
111,5/4/2025,1042,2088,403,0,709.35,2,morning
112,5/4/2025,1011,2041,401,2,0,1,evening
113,5/4/2025,1091,2047,404,1,0,3,afternoon
114,5/4/2025,1062,2067,404,1,0,4,morning
115,5/4/2025,1043,2022,401,3,2684.72,5,evening
116,5/4/2025,1158,2087,402,3,477.96,2,afternoon
117,5/4/2025,1149,2018,402,3,1626.78,1,morning
118,5/4/2025,1163,2032,404,2,756.48,3,morning
119,5/4/2025,1170,2001,404,2,659.76,4,evening
120,5/4/2025,1173,2069,402,0,464.78,5,afternoon
121,5/4/2025,1113,2044,403,3,0,2,morning
122,5/4/2025,1176,2032,404,2,756.48,1,evening
123,5/4/2025,1050,2049,404,0,2819.52,3,afternoon
124,5/4/2025,1060,2048,403,2,1144.42,4,morning
125,5/4/2025,1179,2037,401,3,1440.56,5,evening
126,5/4/2025,1070,2001,401,3,0,2,afternoon
127,5/4/2025,1073,2099,402,2,0,1,morning
128,5/4/2025,1056,2081,402,2,0,3,morning
129,5/4/2025,1173,2096,402,0,672.18,4,evening
130,5/4/2025,1160,2082,401,2,426.56,5,afternoon
131,5/4/2025,1112,2004,403,1,1669.05,2,morning
132,5/4/2025,1023,2037,403,3,2160.84,1,evening
133,5/4/2025,1044,2025,402,2,223.7,3,afternoon
134,5/4/2025,1135,2064,403,1,793.91,4,morning
135,5/4/2025,1065,2061,403,2,639.74,5,evening
136,5/4/2025,1029,2059,401,1,921.69,2,afternoon
137,5/4/2025,1193,2028,404,2,1531.06,1,morning
138,5/4/2025,1023,2050,401,2,298.85,3,morning
139,5/4/2025,1137,2015,404,2,539.98,4,evening
140,5/4/2025,1172,2095,403,3,2453.95,5,afternoon
141,5/4/2025,1163,2047,401,1,301.48,2,morning
142,5/4/2025,1120,2003,403,1,1039.99,1,evening
143,5/4/2025,1165,2008,404,2,53.27,3,afternoon
144,5/4/2025,1166,2052,401,1,658.13,4,morning
145,5/4/2025,1011,2004,403,3,3709,5,evening
146,5/4/2025,1029,2012,402,1,0,2,afternoon
147,5/4/2025,1099,2058,403,3,666.75,1,morning
148,5/4/2025,1150,2095,402,3,490.79,3,morning
149,5/4/2025,1167,2012,404,3,0,4,evening
150,5/4/2025,1071,2004,403,1,834.52,5,afternoon
151,5/4/2025,1113,2056,402,2,839.55,2,morning
152,5/4/2025,1025,2087,403,2,0,1,evening
153,5/4/2025,1015,2050,403,1,504.31,3,afternoon
154,5/4/2025,1031,2058,401,1,2400.3,4,morning
155,5/4/2025,1164,2081,401,0,2984.88,5,evening
156,5/4/2025,1085,2031,402,1,508.77,2,afternoon
157,5/4/2025,1017,2097,402,1,757.89,1,morning
158,5/4/2025,1059,2042,402,0,0,3,morning
159,5/4/2025,1070,2018,402,2,0,4,evening
160,5/4/2025,1044,2014,401,1,886.68,5,afternoon
161,5/4/2025,1003,2045,402,2,499.42,2,morning
162,5/4/2025,1004,2022,403,0,671.18,1,evening
163,5/4/2025,1032,2094,404,0,493.35,3,afternoon
164,5/4/2025,1190,2008,404,3,266.36,4,morning
165,5/4/2025,1199,2046,401,3,167.15,5,evening
166,5/4/2025,1128,2028,401,2,2041.41,2,afternoon
167,5/4/2025,1117,2082,401,0,799.8,1,morning
168,5/4/2025,1122,2051,404,0,234.64,3,morning
169,5/4/2025,1125,2091,404,0,1811.58,4,evening
170,5/4/2025,1020,2041,402,0,0,5,afternoon
171,5/4/2025,1032,2035,403,3,4499.95,2,morning
172,5/4/2025,1152,2067,403,3,872.85,1,evening
173,5/4/2025,1129,2077,404,0,2809.15,3,afternoon
174,5/4/2025,1179,2014,402,3,738.9,4,morning
175,5/4/2025,1115,2029,404,2,0,5,evening
176,5/4/2025,1116,2051,404,0,351.96,2,afternoon
177,5/4/2025,1080,2054,403,2,3602.04,1,morning
178,5/4/2025,1095,2019,404,0,933.93,3,morning
179,5/4/2025,1023,2010,401,3,0,4,evening
180,5/4/2025,1024,2095,403,1,3533.69,5,afternoon
181,5/4/2025,1142,2007,403,0,583.39,2,morning
182,5/4/2025,1105,2045,404,0,624.28,1,evening
183,5/4/2025,1073,2076,403,2,1934.57,3,afternoon
184,5/4/2025,1026,2073,402,1,1797.95,4,morning
185,5/4/2025,1168,2061,402,0,599.76,5,evening
186,5/4/2025,1089,2071,403,0,0,2,afternoon
187,5/4/2025,1195,2035,402,3,0,1,morning
188,5/4/2025,1143,2098,401,2,2178.86,3,morning
189,5/4/2025,1007,2023,403,2,751.63,4,evening
190,5/4/2025,1086,2044,401,1,373.64,5,afternoon
191,5/4/2025,1036,2072,404,0,1260.9,2,morning
192,5/4/2025,1036,2094,401,0,2466.75,1,evening
193,5/4/2025,1191,2067,402,3,872.85,3,afternoon
194,5/4/2025,1107,2058,403,1,1800.22,4,morning
195,5/4/2025,1094,2039,403,0,1952.88,5,evening
196,5/4/2025,1013,2019,402,0,0,2,afternoon
197,5/4/2025,1172,2010,403,3,0,1,morning
198,5/4/2025,1169,2054,404,3,900.51,3,morning
199,5/4/2025,1106,2034,402,0,136.17,4,evening
200,5/4/2025,1088,2055,401,2,129.46,5,afternoon
201,5/4/2025,1173,2086,404,2,715.28,2,morning
202,5/4/2025,1011,2028,404,0,0,1,evening
203,5/4/2025,1001,2026,403,1,190.4,3,afternoon
204,5/4/2025,1196,2017,403,2,370.96,4,morning
205,5/4/2025,1083,2015,401,3,0,5,evening
206,5/4/2025,1191,2055,402,1,48.55,2,afternoon
207,5/4/2025,1097,2068,402,2,1312.38,1,morning
208,5/4/2025,1018,2050,401,3,0,3,morning
209,5/4/2025,1004,2058,401,2,1066.8,4,evening
210,5/4/2025,1147,2054,404,3,2701.53,5,afternoon
211,5/4/2025,1074,2014,404,0,738.9,2,morning
212,5/4/2025,1083,2021,404,2,668.33,1,evening
213,5/4/2025,1022,2055,401,1,97.09,3,afternoon
214,5/4/2025,1111,2075,404,0,1561.28,4,morning
215,5/4/2025,1101,2039,403,1,2636.39,5,evening
216,5/4/2025,1085,2099,402,0,646.32,2,afternoon
217,5/4/2025,1130,2081,401,1,1343.2,1,morning
218,5/4/2025,1198,2044,403,1,186.82,3,morning
219,5/4/2025,1060,2013,402,2,0,4,evening
220,5/4/2025,1050,2022,402,0,671.18,5,afternoon
221,5/4/2025,1045,2098,404,3,907.86,2,morning
222,5/4/2025,1193,2072,404,2,1681.2,1,evening
223,5/4/2025,1160,2040,402,3,138.16,3,afternoon
224,5/4/2025,1017,2060,404,2,0,4,morning
225,5/4/2025,1070,2075,401,2,624.51,5,evening
226,5/4/2025,1129,2009,403,3,198.93,2,afternoon
227,5/4/2025,1115,2004,401,2,2225.4,1,morning
228,5/4/2025,1073,2009,401,3,66.31,3,morning
229,5/4/2025,1118,2074,401,3,659.5,4,evening
230,5/4/2025,1146,2083,402,2,614.53,5,afternoon
231,5/4/2025,1154,2060,402,0,408.38,2,morning
232,5/4/2025,1115,2013,403,0,2806.08,1,evening
233,5/4/2025,1129,2082,402,0,1066.4,3,afternoon
234,5/4/2025,1063,2090,404,3,71.64,4,morning
235,5/4/2025,1134,2066,402,2,1238.54,5,evening
236,5/4/2025,1095,2036,404,3,653.94,2,afternoon
237,5/4/2025,1198,2043,401,2,1397.52,1,morning
238,5/4/2025,1016,2042,401,3,0,3,morning
239,5/4/2025,1072,2032,402,2,1512.96,4,evening
240,5/4/2025,1020,2074,402,2,527.6,5,afternoon
241,5/4/2025,1079,2083,404,1,691.34,2,morning
242,5/4/2025,1152,2090,401,2,57.31,1,evening
243,5/4/2025,1143,2048,403,1,0,3,afternoon
244,5/4/2025,1171,2089,401,3,1654.08,4,morning
245,5/4/2025,1130,2046,401,2,106.98,5,evening
246,5/4/2025,1079,2023,402,2,3006.53,2,afternoon
247,5/4/2025,1196,2062,402,1,1114.85,1,morning
248,5/4/2025,1035,2019,401,2,0,3,morning
249,5/4/2025,1025,2064,401,2,705.7,4,evening
250,5/4/2025,1196,2079,402,3,2851.62,5,afternoon
251,5/4/2025,1039,2020,402,1,338.25,2,morning
252,5/4/2025,1184,2056,401,3,1574.16,1,evening
253,5/4/2025,1093,2086,402,3,3576.4,3,afternoon
254,5/4/2025,1156,2036,404,1,392.36,4,morning
